0	0.71150	0.05467
1000	0.80850	0.13900
2000	0.84100	0.19867
3000	0.86800	0.24100
4000	0.88783	0.36967
5000	0.89567	0.37067
6000	0.90883	0.43567
7000	0.91983	0.46200
8000	0.91600	0.50333
9000	0.93000	0.52533
10000	0.92817	0.44967
11000	0.93133	0.50600
12000	0.94183	0.53000
13000	0.94617	0.55533
14000	0.94733	0.55200
15000	0.93900	0.57400
16000	0.94150	0.58500
17000	0.95433	0.62000
18000	0.95383	0.58500
19000	0.95867	0.56567
20000	0.96567	0.72533
21000	0.93467	0.50167
22000	0.96267	0.73467
23000	0.94533	0.65067
24000	0.95567	0.64133
25000	0.97000	0.74200
26000	0.94750	0.64833
27000	0.97017	0.75000
28000	0.96083	0.69167
29000	0.95533	0.68767
30000	0.96700	0.67933
31000	0.95450	0.64000
32000	0.96850	0.74500
33000	0.98033	0.87500
34000	0.97667	0.79333
35000	0.89700	0.46933
36000	0.97200	0.81667
37000	0.96367	0.72867
38000	0.98200	0.85867
39000	0.97950	0.91167
40000	0.92517	0.55667
41000	0.96767	0.80200
42000	0.98283	0.86700
43000	0.98533	0.87267
44000	0.95150	0.53467
45000	0.98583	0.89700
46000	0.98433	0.88133
47000	0.98683	0.93233
48000	0.91317	0.50433
49000	0.97183	0.81833
50000	0.98467	0.90433
51000	0.98650	0.93633
52000	0.98217	0.86967
53000	0.98317	0.93067
54000	0.95200	0.62833
55000	0.97817	0.83267
56000	0.98150	0.90933
57000	0.99000	0.95333
58000	0.90267	0.48000
59000	0.97100	0.80000
60000	0.98567	0.92500
61000	0.97950	0.86833
62000	0.93283	0.57933
63000	0.97967	0.91767
64000	0.98950	0.96267
65000	0.99183	0.97200
66000	0.99083	0.97267
67000	0.99100	0.97067
68000	0.99083	0.96700
69000	0.99117	0.96867
70000	0.99317	0.97100
71000	0.99183	0.97433
72000	0.99217	0.97067
73000	0.99133	0.98067
74000	0.99250	0.98567
75000	0.99317	0.98467
76000	0.99150	0.98433
77000	0.99283	0.98333
78000	0.99167	0.98367
79000	0.99317	0.97667
80000	0.99300	0.98100
